commit	communication	loss	status	description
98e8de4	2,415,171,728	3.025609	keep	baseline (DiLoCo H=15 AdamW lr=1e-3 cosine warmup500)
915dea6	1,237,039,248	3.433869	discard	H=100 (comm halved but loss degraded)
f952c15	2,415,171,728	2.976527	keep	weight_decay=0.1 inner AdamW (loss improved)
97aeaae	2,415,171,728	3.322469	discard	warmup_steps=100 (cosine decay kills LR too fast in ~167 step run)
0c92048	1,767,198,864	3.017969	discard	fp16 comm (27% less comm but 0.04 worse loss)
512d1fd	1,943,918,736	3.049967	discard	fp16 comm H=12 (still worse loss than fp32)
e61cdb4	2,415,171,728	2.948933	keep	outer SGD lr 0.7->0.9 (better outer correction)
6e1392b	2,415,171,728	3.021805	discard	outer SGD lr 1.0 (overshot)
2185353	1,767,198,864	3.286957	discard	fp16 comm + no max_norm (instability without clipping)
e5e5085	2,415,171,728	3.044527	discard	inner lr=0.002 (too high, warmup LR already well-tuned)
17512e4	2,415,171,728	11.239023	discard	outer AdamW lr=0.01 (catastrophic, SGD essential for outer step)
616086f	1,767,198,864	2.995228	discard	fp16 all_reduce+broadcast + momentum=0.95 (comm better but loss worse)
c7fff0d	2,091,185,296	3.026991	discard	fp16 all_reduce only fp32 broadcast (still hurts loss, 14% comm savings)
19b60df	2,415,171,728	5.085511	discard	inner SGD lr=0.01 (AdamW essential, SGD diverged)
eb8fa31	2,415,171,728	3.007868	discard	AdamW beta2=0.99 (faster variance doesn't help)
cdd8fe0	1,159,733,456	2.996101	discard	2-bit EF DiLoCo range=6 (55% less comm, loss 0.047 worse)
f49404b	1,159,733,456	2.981420	discard	2-bit EF range=4 H=15 (loss 0.032 worse, narrowing gap)
20fbee4	1,170,780,944	3.005666	discard	2-bit EF range=4 H=12 (more syncs hurt, EF errors compound faster)
b3d8ccb	1,883,961,664	2.946138	keep	selective 2-bit EF: wte in 2-bit, transformer in fp32 (both metrics improved!)
ecfd67e	1,235,988,800	3.031420	discard	no-broadcast attempt (master models numerically diverge without broadcast anchor)
3c018cc	1,883,961,664	3.023808	discard	wte range=3 (too much clipping, worse than range=4)
3b7743a	1,600,649,536	3.012033	discard	fp16 wte broadcast (noise propagates through H steps)
ed86853	1,744,918,816	3.011886	discard	H=18 selective EF (H very sensitive, loss degrades quickly)
